misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,257,-11.211714548780488,1.418301808834076,-0.005403399467468262,12.28632230758667
40,14760,279,-10.841161849999999,1.4174296975135803,-0.0046938925981521605,6.063995969295502
60,21960,283,-10.7282322,1.4164243340492249,-0.009071857621893286,11.496010732650756
80,29160,287,-10.981568499999998,1.416460633277893,-0.006527230516076088,6.017853021621704
100,36360,292,-6.8220266700000005,1.4155553698539733,-0.0031252384185791017,8.111314463615418
120,43560,294,-5.794200630000001,1.414818489551544,-0.005019636824727058,7.344171190261841
140,50760,297,-6.50408016,1.4135371804237367,-0.0028208822011947634,7.101154842972756
160,57960,299,-7.4291050599999995,1.4130486011505128,-0.006227365974336862,5.917849910259247
180,65160,301,-8.222083379999999,1.4125005841255187,-0.006651137769222259,5.98265392780304
200,72360,302,-8.226732929999999,1.4116024255752564,-0.010207990650087595,2.74484361410141
220,79560,303,-6.91741744,1.4104886531829834,-0.0039893554523587225,10.127866530418396
240,86760,304,-6.093467309999999,1.4085970520973206,0.0007476478815078736,8.836662244796752
260,93960,305,-7.74799976,1.4081538915634155,-0.013091801665723324,6.023615145683289
280,101160,306,-7.130320280000001,1.4066220045089721,-0.0027001678943634035,5.366421109437942
300,108360,306,-5.914324959999999,1.406663680076599,-0.009004714339971543,2.191148915886879
320,115560,307,-9.537517130000001,1.4061545848846435,-0.0024366112425923347,10.592724084854126
340,122760,307,-12.140063450000003,1.405118727684021,-0.004665310680866242,7.8693900346755985
360,129960,307,-7.438829889999999,1.4042116761207581,0.003821689001051709,4.973679235577583
380,137160,307,-8.88923018,1.403876531124115,-0.0013518916442990304,4.662483632564545
400,144360,307,-8.32430325,1.4029765486717225,-0.009247199445962907,14.963631343841552
420,151560,307,-11.568811020000004,1.4017535209655763,-0.00408318005502224,1.5819941639900208
440,158760,307,-6.82112801,1.4000893473625182,-0.0011480428278446198,3.900102770328522
460,165960,308,-5.65868202,1.3994318485260009,0.0032458961941301823,9.8820050239563
480,173160,308,-7.44826333,1.3993669271469116,-0.006428821384906769,6.416107261180878
500,180360,308,-4.2875042400000005,1.3990606546401978,-0.007325011491775513,3.9518170177936556
520,187560,309,-4.72655214,1.3974465370178222,0.0028247937560081484,9.347204744815826
540,194760,309,-6.600302999999999,1.3967565536499023,-0.0012019825167953967,15.151928424835205
560,201960,309,-8.326767,1.3963932633399962,-0.0024208992719650267,4.533896434307098
580,209160,309,-6.080190569999998,1.396142554283142,-0.003617973905056715,3.9466565430164335
600,216360,309,-2.61543556,1.3953218102455138,-0.0008135274052619934,10.988882923126221
620,223560,310,-5.285377020000002,1.3953301310539246,0.0015026159584522248,7.910499683022499
640,230760,310,-4.713961489999999,1.3943254113197328,-0.0014129936695098876,4.860711400210858
660,237960,310,-3.9304938600000003,1.3943729639053344,-0.010038308613002301,9.97053587436676
680,245160,310,-5.8847191699999986,1.3940464735031128,-0.006520467251539231,2.3746853888034822
700,252360,310,-0.8689983300000002,1.3932409048080445,0.0007559698442491936,5.146686053276062
720,259560,311,-0.7496279799999997,1.3930401086807251,-0.002729895315133035,6.057233512401581
740,266760,311,-5.35147033,1.3929095268249512,0.0026137709617614748,14.857729315757751
760,273960,311,-4.04415523,1.3930163145065309,-0.00398622676730156,3.3429152011871337
780,281160,311,-1.7856255899999995,1.3929142117500306,-0.005203924048691988,2.3964360654354095
800,288360,311,-0.8044357399999997,1.3925845980644227,-0.0030132681131362915,8.508998095989227
820,295560,311,-1.8033735299999998,1.3930711984634399,0.0009119253605604172,19.433025455474855
840,302760,311,-5.24119875,1.392949068546295,-0.007717734575271607,5.636723041534424
860,309960,311,-1.48475855,1.3926175236701965,-0.0019727349281311035,10.861181497573853
880,317160,311,-3.18389556,1.3928539276123046,-0.014552635606378317,0.6045289903879165
900,324360,311,-5.5336751799999995,1.3934446930885316,-0.005243507027626037,24.747392654418945
920,331560,311,-4.70705495,1.393352746963501,-0.0010202471166849136,16.922910356521605
940,338760,311,-4.70701071,1.3929708838462829,-0.00411544218659401,13.316120386123657
960,345960,311,-1.4720867700000002,1.3916924357414246,-0.00048690065741539,12.025412321090698
980,353160,311,-1.92192313,1.3918258428573609,-0.00734831839799881,0.5150852054357529
1000,360360,311,-3.98413691,1.3923557877540589,-0.004616764187812805,2.1850917100906373
1020,367560,312,0.09007837999999946,1.393260085582733,-0.0042927607893943785,28.372044944763182
1040,374760,312,-3.52753795,1.3924849510192872,0.0027322620153427124,6.0445059597492214
1060,381960,312,1.4907999100000004,1.3924556493759155,-0.002902301400899887,2.7337631314992903
1080,389160,312,0.16315005999999996,1.3919178247451782,-0.006550994515419006,12.807188963890075
1100,396360,312,-4.595830020000001,1.3918217182159425,0.002090921485796571,4.2245829641819
1120,403560,312,-4.044657619999999,1.391326904296875,0.0007833033800125122,10.435087323188782
1140,410760,312,-2.09997635,1.3906782031059266,-0.011172657692804932,3.5988106548786165
1160,417960,312,-4.962737540000001,1.3901941418647765,-0.0047424593940377235,1.4190317824482919
1180,425160,312,-2.0236537100000005,1.388856256008148,-0.0024811424314975738,9.019681072235107
1200,432360,312,-2.24161225,1.388351321220398,0.0003667205572128296,6.54236421585083
1220,439560,312,0.6035101999999999,1.387351155281067,-0.014627883210778236,2.0773799121379852
1240,446760,312,-0.8982634599999997,1.3873426556587218,-0.004453440010547638,8.538326740264893
1260,453960,312,-4.1896216100000006,1.3878022313117981,-0.008475959487259387,12.393712139129638
1280,461160,312,-2.829778010000001,1.388469433784485,0.0010021288879215717,14.458005332946778
1300,468360,312,1.2213723399999998,1.3875936150550843,-0.00729244239628315,12.097992420196533
1320,475560,313,-1.2254360499999994,1.3871538758277893,-0.003957427199929952,7.690517592430115
1340,482760,313,-2.11774217,1.3863925337791443,-0.004577996581792832,8.725380277633667
1360,489960,313,-1.7696569299999998,1.3851335883140563,-0.0008973639458417892,14.266628694534301
1380,497160,313,-0.12341183999999951,1.3840015172958373,-0.0017996013164520263,8.354211282730102
1400,504360,313,1.7292002000000002,1.3839665174484252,-0.00048037071246653795,7.7441886305809025
1420,511560,313,-0.7394474199999996,1.383607017993927,-0.004301130957901478,15.089425230026245
1440,518760,313,1.14191907,1.3830983519554139,-0.0018507443368434907,10.125003123283387
1460,525960,313,2.0848937000000003,1.3818650007247926,-0.005371765792369842,4.439331579208374
1480,533160,313,2.80625482,1.381939446926117,0.0004864431917667389,4.361372521519661
1500,540360,313,3.1501262699999995,1.3811893224716187,-0.0024394694715738296,9.730922055244445
1520,547560,313,3.1268259900000004,1.3824334859848022,-0.0057131703943014145,10.765077900886535
1540,554760,313,1.0750092800000002,1.3833035707473755,-0.0030454564839601517,3.338283509016037
1560,561960,313,1.80931841,1.3820232272148132,-0.0035168126225471495,3.004299122095108
1580,569160,313,0.10786042000000054,1.3822220087051391,0.000983230024576187,11.160519695281982
