misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,249,-12.721110493975903,1.4185920238494873,-0.007383460551500321,13.066233325004578
40,14760,239,-10.35517955,1.4183948993682862,-0.0031343843787908555,6.682288509607315
60,21960,240,-12.47965422,1.417588460445404,-0.0035676576662808657,8.25011978149414
80,29160,239,-9.18833555,1.416694462299347,-0.001172875240445137,9.292187666893005
100,36360,240,-8.621305569999999,1.4162686705589294,-0.004507119208574295,2.2177140712738037
120,43560,242,-8.23498043,1.4163482308387756,0.0020133054116740824,3.28608078956604
140,50760,243,-7.341716950000001,1.4159857511520386,-0.004821724630892277,5.607181662321091
160,57960,244,-7.36166561,1.415424633026123,-0.0021315403282642365,8.225714692473412
180,65160,244,-6.044963889999999,1.4141796588897706,-0.0021503692492842673,4.859556937217713
200,72360,245,-6.129671149999999,1.4132737517356873,-0.0012597188353538514,4.263269408047199
220,79560,245,-6.144526039999999,1.4129759669303894,-0.006402075476944447,8.043730521202088
240,86760,245,-6.461935960000001,1.4117642998695374,-0.0023738712072372435,9.175874853134156
260,93960,246,-6.46082815,1.410408365726471,0.001745988428592682,6.3469421625137326
280,101160,246,-5.446543330000002,1.4088010668754578,-0.0009247828274965286,9.296427869796753
300,108360,246,-4.68500222,1.4089862704277039,-0.007004309259355068,2.656894774734974
320,115560,247,-7.160624210000002,1.4077838778495788,-0.0020433660596609116,5.499180743098259
340,122760,247,-4.28278712,1.4074615716934205,-0.002700490690767765,3.7619887620210646
360,129960,247,-6.19103753,1.406803596019745,-0.004796953685581684,0.6053441196680069
380,137160,247,-5.076297229999999,1.4066388010978699,-0.007078634947538376,4.183442676067353
400,144360,247,-4.51859353,1.4057962894439697,-0.0038892183220013976,2.1561914682388306
420,151560,248,-3.499609649999999,1.404652214050293,-0.014445120468735695,0.6254742324352265
440,158760,248,-4.11579207,1.4037426352500915,-0.003619888797402382,7.590645694732666
460,165960,248,-4.791718980000001,1.4035872578620912,-0.00617366973310709,1.1950835555791854
480,173160,248,-3.0266015299999993,1.4028324961662293,-0.009061338752508164,1.9464575439691543
500,180360,248,-1.3694387399999997,1.4022369027137755,-0.01894719833508134,7.466814121603965
520,187560,248,-2.75102516,1.402265691757202,-0.0010956138372421264,8.96999795436859
540,194760,248,-3.1129620599999996,1.4013466596603394,-0.0010057161562144756,1.1777790412306786
560,201960,248,-1.12908226,1.4007912516593932,-0.00967620313167572,6.383014678955078
580,209160,248,-4.26846239,1.3999228358268738,-0.0013095580041408538,10.847037202119827
600,216360,248,-6.888729289999999,1.3995298981666564,-0.00029545892030000684,6.882143425941467
620,223560,249,-5.20844366,1.4000597238540649,-0.006562878936529159,0.4783479288220406
640,230760,249,-4.99220211,1.3996462941169738,-0.004558621346950531,3.3192569077014924
660,237960,249,-2.72057052,1.3988252520561217,-0.00290723517537117,8.018405079841614
680,245160,249,-1.4972871300000004,1.3990537524223328,-0.0033654709812253715,10.200212025642395
700,252360,249,-0.7705980000000002,1.3979681015014649,0.0017042063176631928,8.426662945747376
720,259560,249,0.18049537000000007,1.3968910455703736,0.001385604590177536,3.0781684279441834
740,266760,249,-2.84508826,1.3969953536987305,-0.0011393295601010323,6.609069013595581
760,273960,249,-0.45404261999999995,1.3965337991714477,-0.0010512517765164375,18.22833194732666
780,281160,250,-0.2623256,1.3963177919387817,-0.0010824906872585415,3.4600250124931335
800,288360,251,3.58821384,1.3953841209411622,-0.015654664486646652,3.6410627007484435
820,295560,253,-0.3009813899999999,1.3943816900253296,0.0001328255981206894,17.47780442237854
840,302760,254,0.18909544000000025,1.3949734449386597,-0.006327923387289047,11.521421861648559
860,309960,256,1.8470339100000002,1.3944995284080506,-0.001071454957127571,3.671535384654999
880,317160,257,0.64158641,1.3941215515136718,-0.010018794611096383,17.669684648513794
900,324360,258,0.28739842000000004,1.3945366024971009,-0.00043146898970007895,18.571703255176544
920,331560,260,-0.9269415900000004,1.3949567794799804,-0.0014160672202706338,16.37503378391266
940,338760,261,0.95215937,1.3949793815612792,-0.0021518430905416606,8.634759044647216
960,345960,262,-0.91017248,1.394124150276184,-0.004226465150713921,8.216374444961549
980,353160,263,-2.40714119,1.3941855311393738,0.004261587560176849,16.192010974884035
1000,360360,264,4.523772579999999,1.3944416046142578,-0.004890479147434235,6.168252575397491
1020,367560,265,2.28223176,1.3933152556419373,0.001030516717582941,13.184137082099914
1040,374760,266,3.2986391800000003,1.393043839931488,-0.009870369825512171,9.875215482711791
1060,381960,267,1.0420994000000003,1.3923841834068298,-0.0028236912046850195,18.67172102332115
1080,389160,268,3.92485652,1.392568016052246,-0.003886476531624794,3.0154902815818785
1100,396360,269,4.220878669999999,1.392283308506012,-0.006636700034141541,12.270526647567749
1120,403560,270,3.5763892799999994,1.3915217757225036,-0.002111788094043732,20.66723220050335
1140,410760,271,1.17246176,1.3911305665969849,-0.011821065843105317,15.662811732292175
1160,417960,271,0.8824938100000004,1.3894852161407472,-0.0032685672864317893,2.1132379293441774
1180,425160,272,-0.4164456600000001,1.389405572414398,0.00016134763136506082,4.967589603364468
1200,432360,273,3.74622464,1.3883726716041564,-0.0012234412133693695,13.085651063919068
1220,439560,274,-0.8715945399999999,1.3882840991020202,-0.001511462265625596,8.48402144908905
1240,446760,274,2.59768717,1.3874099373817443,7.081683725118637e-05,14.36538565158844
1260,453960,275,0.5094584900000001,1.3862353563308716,-0.00507461279630661,6.669511222839356
1280,461160,276,0.8761970899999997,1.3851266026496887,-0.0014666013419628143,20.254861927032472
1300,468360,276,3.1278409400000005,1.3848190546035766,-0.0010795500129461288,8.328433561325074
1320,475560,277,2.26609847,1.3838713049888611,-0.009482053853571416,16.791105270385742
1340,482760,277,-1.9053935399999995,1.381687581539154,0.0003960639238357544,17.060372895002367
1360,489960,278,2.1634227999999998,1.380384612083435,-0.004682513326406479,6.3049630403518675
1380,497160,279,2.915888319999999,1.3793235540390014,-0.002292727679014206,6.837484914064407
1400,504360,279,2.450846919999999,1.37818945646286,-0.00533701479434967,4.928898429870605
1420,511560,280,0.9864670299999997,1.3773046851158142,-0.00205836147069931,15.179507827758789
1440,518760,280,3.5237858999999996,1.3765325546264648,-0.0063770987093448635,10.270475137233735
1460,525960,281,3.02963658,1.3754435300827026,-0.0060156974475830795,14.811604118347168
1480,533160,281,4.3596334500000005,1.3750391840934753,0.0042925339192152025,18.884263134002687
1500,540360,282,3.8252376900000007,1.3739203333854675,-0.006516778201330453,2.3205936193466186
1520,547560,282,4.7859872999999995,1.3736077427864075,-0.00282457210123539,11.0642333984375
1540,554760,283,3.31682861,1.3735687494277955,-0.005251927673816681,9.630969488620758
1560,561960,283,3.5017413399999997,1.3733496189117431,-0.00561656984500587,5.539803588390351
1580,569160,284,1.9049699099999997,1.3732102274894715,-0.002443039417266846,10.507291811704636
1600,576360,284,4.00871218,1.373701572418213,0.0012174997478723525,5.4299139976501465
1620,583560,284,4.01313136,1.3731201887130737,-0.006102471053600312,8.343655383586883
1640,590760,285,2.8104165900000004,1.3726779341697692,0.008295923098921775,12.003305101394654
1660,597960,285,0.7786695800000001,1.3722284197807313,-0.0045961692929267885,11.125442504882812
1680,605160,286,5.30200612,1.3716524600982667,-0.0018365200608968734,28.898887062072752
1700,612360,286,4.02274687,1.3708425760269165,-0.004988504573702812,15.525257349014282
1720,619560,286,7.216061029999999,1.37038094997406,0.00198771208524704,10.036181926727295
1740,626760,287,7.945489370000001,1.3693556547164918,0.003377951681613922,9.023590850830079
1760,633960,287,6.399098050000001,1.369757890701294,-0.0037935708183795213,12.462102937698365
1780,641160,288,5.03649219,1.3695805311203002,-0.0015747362747788429,6.098461318016052
1800,648360,288,3.286501220000001,1.3682830572128295,-0.005362805631011725,6.85656590461731
1820,655560,288,3.7388037699999996,1.3673675417900086,0.005507582798600197,21.72418041229248
1840,662760,289,4.89342882,1.3668014526367187,-0.009023975022137165,19.755695456266402
1860,669960,289,5.831171749999999,1.3654850602149964,0.0003377277404069901,15.734211546182632
1880,677160,289,2.23513481,1.364099955558777,-0.005950182257220149,6.29082955121994
1900,684360,290,2.34741284,1.3638480663299561,-0.003063929476775229,4.592276215553284
1920,691560,290,3.3576167399999997,1.3632495999336243,-0.00833224356174469,18.510688304901123
1940,698760,290,4.29986976,1.3623250722885132,-0.0069361682515591385,9.079968202114106
1960,705960,291,0.9440040500000003,1.3608403205871582,-0.001563153963070363,21.8765597820282
1980,713160,291,6.937555340000001,1.3600783586502074,0.004715551808476448,13.567611598968506
2000,720360,291,9.33597915,1.3590429067611693,-0.000677109882235527,10.205345559120179
2020,727560,292,6.541501310000001,1.357469618320465,-0.0010127268731594085,15.321407967805863
2040,734760,292,0.9423028499999994,1.3571003913879394,-0.00023362785577774048,13.817488408088684
2060,741960,292,3.8646151699999995,1.3561818242073058,-0.005026707798242569,18.78670229911804
2080,749160,293,7.5137163099999995,1.355929672718048,-0.009931401908397674,6.1626737236976625
2100,756360,293,1.9936016899999998,1.3548415064811707,-0.004369706055149436,3.8218225836753845
2120,763560,293,5.637829619999999,1.3547074675559998,-0.0013835030375048518,11.8927170753479
2140,770760,294,4.70799395,1.354173982143402,-0.006723901815712452,4.8660005807876585
2160,777960,294,7.348001679999999,1.3548217415809631,-0.003434656502213329,5.346050131320953
2180,785160,294,6.199135889999999,1.3549215078353882,-0.0033915472915396093,5.542228507995605
2200,792360,295,7.611165869999999,1.3547105312347412,-0.010797353461384773,16.321731662750246
2220,799560,295,1.7854539899999995,1.3545920848846436,-0.0029010485857725145,5.011568939685821
2240,806760,295,5.03437437,1.3534080862998963,-0.002731453627347946,7.221543598175049
2260,813960,296,9.7796639,1.3532920002937316,-0.00580311119556427,19.90530996322632
2280,821160,296,4.51757032,1.353209090232849,-0.007579868659377098,9.656569385528565
2300,828360,296,4.74949294,1.351828360557556,-0.0062901867553591725,11.090208303928375
2320,835560,297,5.323219900000001,1.3513779878616332,-0.00581028014421463,11.031575286388398
2340,842760,297,2.46467627,1.3514562606811524,-0.00042425282299518585,7.686038827896118
2360,849960,297,7.94809935,1.3508874416351317,-0.004046823084354401,3.5047294437885284
2380,857160,297,0.8519416800000005,1.3506535053253175,-0.006855850620195269,8.017742654681205
2400,864360,298,4.58861046,1.3506141781806946,-0.004278166964650154,10.879816234111786
2420,871560,298,5.60666413,1.3507811546325683,-0.009973918832838536,29.154587173461913
2440,878760,298,1.8840985300000002,1.3504182934761046,-0.0011287968605756759,5.560934507846833
2460,885960,298,2.8055519600000003,1.3501681208610534,-0.0020170196890830993,8.866847348213195
2480,893160,299,4.8760096100000005,1.3491291046142577,0.004589076340198517,19.414890813827515
2500,900360,299,6.58535479,1.3489341020584107,0.0016179278492927552,13.616415858268738
2520,907560,299,7.925882870000001,1.3481931567192078,-0.005542541004251689,0.9686120688915253
2540,914760,300,7.66256522,1.3473150730133057,0.002761448919773102,19.398229789733886
2560,921960,300,5.104273419999999,1.3470039248466492,-0.0063340187072753905,17.62919600009918
2580,929160,300,4.81005429,1.3462111711502076,-0.003767448663711548,13.300406420230866
2600,936360,300,4.43492345,1.34580317735672,0.012523995153605938,18.535111692547797
2620,943560,301,5.74383074,1.3449921250343322,-0.0016701646149158479,12.038169634342193
2640,950760,301,9.14301485,1.3442451715469361,-0.006084820628166199,7.291242465376854
2660,957960,301,5.8918981399999995,1.3433881640434264,-0.002950584655627608,4.1410974025726315
2680,965160,301,2.90407901,1.3441676020622253,-0.0015772242099046708,9.1754310131073
2700,972360,301,7.2757628,1.345083236694336,-0.012782173603773117,4.11852343082428
2720,979560,302,4.45918068,1.3444814085960388,-0.004336320608854294,20.06627345085144
2740,986760,302,7.114199920000001,1.344538414478302,-0.00212743878364563,16.003897869586943
2760,993960,302,4.0474901999999995,1.344340991973877,-0.006725214421749115,36.937933349609374
2780,1001160,302,7.44254284,1.344605565071106,-0.0016057224944233893,33.410021209716795
2800,1008360,303,5.33804447,1.3439734697341919,-0.0004717230796813965,6.362662720680237
2820,1015560,303,3.9301837700000006,1.3438272714614867,-0.0021321915090084078,10.477874255180359
2840,1022760,303,9.744949079999998,1.3447996258735657,0.0011928153689950705,4.811982268095017
2860,1029960,303,8.672459149999998,1.3442937135696411,0.00020212754607200621,18.98216133117676
2880,1037160,303,8.601425279999999,1.344932448863983,-0.004161110147833824,5.286543869972229
2900,1044360,304,9.69362012,1.3443564891815185,-0.0089127067476511,7.695454382896424
2920,1051560,304,2.9130668900000005,1.3448287487030028,-0.006107741594314575,11.735993909835816
2940,1058760,304,7.88092412,1.3444087386131287,-0.007039226591587067,16.657567501068115
2960,1065960,304,11.120160199999997,1.3435619950294495,-0.0025914695113897325,4.816364106535912
2980,1073160,304,9.043524139999999,1.342550027370453,-0.009734853263944387,2.044501620531082
3000,1080360,304,10.405815239999999,1.3421056509017943,-0.0066485883668065075,9.400877583026887
3020,1087560,305,4.94941346,1.3413907527923583,0.004001752380281687,10.851446866989136
3040,1094760,305,9.956355570000001,1.3418382048606872,0.0031301066279411315,19.304510259628294
3060,1101960,305,9.23701891,1.3411654353141784,-0.0030464082956314087,27.546514129638673
3080,1109160,305,9.456373699999999,1.340985405445099,-0.0035510405898094176,32.48743765354156
3100,1116360,305,6.751599770000001,1.3401920080184937,-0.003171110898256302,20.982416725158693
3120,1123560,306,8.124911950000001,1.3394840598106383,-0.0018813833594322205,15.429216074943543
3140,1130760,306,11.876154330000002,1.3393328547477723,-0.005827666458208114,14.024678564071655
3160,1137960,306,10.330737000000001,1.339512586593628,-0.00043606385588645935,22.26649079322815
3180,1145160,306,10.059413330000002,1.3374662041664123,-0.00010004453361034393,7.287175279855728
3200,1152360,306,6.07839737,1.3362899661064147,-0.0006761141121387482,1.7445542514324188
3220,1159560,306,5.30953316,1.3352725386619568,-0.006217070296406746,12.860740566253662
3240,1166760,307,8.77939595,1.3341113328933716,-0.004198550805449485,18.152563333511353
3260,1173960,307,9.659798719999998,1.3341232419013977,-0.005846080473207849,23.861938571929933
3280,1181160,307,8.84109928,1.3336304426193237,-0.0012534331530332566,12.432839798927308
3300,1188360,307,11.611683789999999,1.3350029468536377,-0.007524328306317329,12.367632699012756
3320,1195560,307,9.21060337,1.3349482893943787,0.0006728723645210266,14.279227828979492
3340,1202760,307,5.70279707,1.3350826263427735,-0.004616159945726395,7.902436238527298
3360,1209960,308,10.55317462,1.3343673586845397,-0.005929090827703476,2.7794557213783264
3380,1217160,308,7.765067429999999,1.3337252855300903,-0.0023405896499753,12.46366046667099
3400,1224360,308,14.41077408,1.332551074028015,-0.0022181808948516847,15.002462500333786
3420,1231560,308,10.946121930000004,1.3310487627983094,-0.005753403156995773,4.680863618850708
3440,1238760,308,10.29300123,1.3307186007499694,-0.0008511833846569061,19.31748068332672
3460,1245960,308,7.71955226,1.3306025743484498,-0.009994168300181627,28.843248462677003
3480,1253160,308,11.561452499999998,1.329960823059082,0.006206396967172623,6.706461316347122
